Position,"Track Name",Artist,URL
1,Marikit,"Juan Caoile",https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar
2,"Na Raba Toma Tapão",Niack,https://open.spotify.com/track/57zQSScHq19ztrMnjWCPBI
3,Stunnin',"Curtis Waters",https://open.spotify.com/track/2LUdpPCiiza6UQugipjMeS
4,春を告げる,yama,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
5,"Times We Had",Barlito,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz
6,"Fishy on Me","Dr. Sus",https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
7,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
8,Body,"Jordan Suaste",https://open.spotify.com/track/3uG6rdUthcTvbK70fwkPky
9,#WIPEITDOWN,"BMW KENNY",https://open.spotify.com/track/2kefHjNepGePZG4WxH2Vh4
10,Mariposa,"Peach Tree Rascals",https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
11,香水,Eito,https://open.spotify.com/track/6y7FocfzyzkGLSHQdJVHhq
12,Anissa,Wejdene,https://open.spotify.com/track/62Pp6exz0ywSlBqvNqiY6Z
13,"Djomb - Bien ou quoi",Bosh,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48
14,Control,"Zoe Wees",https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
15,"I Like You So Much, You'll Know It","Honey Jemlan",https://open.spotify.com/track/4zATlrA9Lf9zHGLvEP47Ei
16,"Figure It Out","Blu DeTiger",https://open.spotify.com/track/5G5qyRHlLmZgy915TBTCkB
17,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
18,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
19,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
20,"LATHI (ꦭꦛꦶ)","Weird Genius",https://open.spotify.com/track/7ksK7gpPDFdY4JLHr1hKfY
21,"IDK You Yet","Alexander 23",https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
22,"ooh la la (feat. Greg Nice & DJ Premier)","Run The Jewels",https://open.spotify.com/track/5taqLrLouA4vCjM7ZQpEtW
23,"Tak Tiki Tak","Harry Nach",https://open.spotify.com/track/0aCTSZQTlmnjQucALTF00s
24,Perlahan,"Guyon Waton",https://open.spotify.com/track/01TdkJ0lorIzBsdks8X1Tb
25,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
26,"Do It","Chloe x Halle",https://open.spotify.com/track/1bRjwdtScY2eMe9uMmsOkG
27,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
28,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
29,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
30,Riot,XXXTENTACION,https://open.spotify.com/track/4aOOExMBUyxKnEYb39SrTg
31,"eight(Prod.&Feat. SUGA of BTS)",IU,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
32,KLWKN,"Music Hero",https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN
33,"Ты мой кайф","Dzharo & Khanza",https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
34,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
35,"Address It","LPB Poody",https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
36,"Como Llora",Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
37,GOOBA,6ix9ine,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
38,Sexy,JoeVille,https://open.spotify.com/track/2n0vHNx05rdQaTrs2R6Ty7
39,"Cars That Go Boom",L'Trimm,https://open.spotify.com/track/2pFKuQp8QLsp9Hl3YXuaGo
40,"Il bacio di Klimt","Emanuele Aloia",https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
41,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
42,Mediterranea,Irama,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
43,"Can't You See Me?","TOMORROW X TOGETHER",https://open.spotify.com/track/2qI0Uchpdc2RkzuhbRnnZ8
44,"yankee and the brave (ep. 4)","Run The Jewels",https://open.spotify.com/track/1EjzcBTVLV7ATtdsQwyV31
45,Surrender,"Natalie Taylor",https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
46,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
47,"Let Love Lead",Terrian,https://open.spotify.com/track/6ezWbOb22Pih3yFT0DTyUD
48,"Stuck with U (with Justin Bieber)","Ariana Grande",https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
49,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
50,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
