,Position,Track Name,Artist,URL,Date
0,1,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-09
1,2,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-09
2,3,Blueberry Fergo,Lil Monet,https://open.spotify.com/track/6CrMU5zXlKNGsipNhiu7hN,2020-01-09
3,4,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,2020-01-09
4,5,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5,2020-01-09
5,6,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,2020-01-09
6,7,Catriona,Matthaios,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2,2020-01-09
7,8,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,2020-01-09
8,9,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,2020-01-09
9,10,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-09
10,11,Bütün Istanbul Biliyo,İkiye On Kala,https://open.spotify.com/track/0V0bWil6rS8w4Xbn6eGwCQ,2020-01-09
11,12,Sinning With You,Sam Hunt,https://open.spotify.com/track/7aP3ZnCrfQLFBFK4RiXpG2,2020-01-09
12,13,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,https://open.spotify.com/track/6EviFqpmuvHfQaExMKmt0A,2020-01-09
13,14,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-09
14,15,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,2020-01-09
15,16,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-09
16,17,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI,2020-01-09
17,18,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-01-09
18,19,Vem Me Satisfazer,MC Ingryd,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020-01-09
19,20,Liberdade Provisória,Henrique & Juliano,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,2020-01-09
20,21,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,2020-01-09
21,22,Girassol,Priscilla Alcantara,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,2020-01-09
22,23,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2020-01-09
23,24,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-01-09
24,25,Make It With You,Ben&Ben,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-01-09
25,26,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,2020-01-09
26,27,Lebih Dari Egoku,Mawar de Jongh,https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh,2020-01-09
27,28,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-01-09
28,29,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,2020-01-09
29,30,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-09
30,31,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,2020-01-09
31,32,Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2020-01-09
32,33,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,2020-01-09
33,34,Futsal Shuffle 2020,Lil Uzi Vert,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,2020-01-09
34,35,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-01-09
35,36,No seas Celoso,Kim Loaiza,https://open.spotify.com/track/6z0nw7pmCeOJVFBCaNKHKs,2020-01-09
36,37,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2020-01-09
37,38,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-09
38,39,Tudo Ok,Thiaguinho MT,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,2020-01-09
39,40,Imahe,Magnus Haven,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-01-09
40,41,Solteroski,Los Solteroski,https://open.spotify.com/track/6JqfAWXo2rPNSWy9SDm9i3,2020-01-09
41,42,Tala,Sarah Geronimo,https://open.spotify.com/track/4T7CM071eEoHudiDShZlCJ,2020-01-09
42,43,I Want You Back,Matthaios,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI,2020-01-09
43,44,FML,Arizona Zervas,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,2020-01-09
44,45,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,2020-01-09
45,46,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,2020-01-09
46,47,Rehat,Kunto Aji,https://open.spotify.com/track/1BzMyhmPzYnGWK6RBF5TTj,2020-01-09
47,48,Patointeligencja,Mata,https://open.spotify.com/track/6F3zAaf1DY7akff9JQ8pMb,2020-01-09
48,49,SENTADÃO,PEDRO SAMPAIO,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020-01-09
49,50,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-09
0,1,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-16
1,2,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,2020-01-16
2,3,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-16
3,4,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5,2020-01-16
4,5,Burberry faygo,Lil Adrei,https://open.spotify.com/track/3B36YnwXzR3VKm4hHYmGtr,2020-01-16
5,6,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,2020-01-16
6,7,Psycho,Red Velvet,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,2020-01-16
7,8,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,2020-01-16
8,9,Tudo Ok,Thiaguinho MT,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,2020-01-16
9,10,Catriona,Matthaios,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2,2020-01-16
10,11,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,https://open.spotify.com/track/6EviFqpmuvHfQaExMKmt0A,2020-01-16
11,12,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-16
12,13,Dolunay,Enes Batur,https://open.spotify.com/track/0Ca4p7aZRXKdGvLuqezTwC,2020-01-16
13,14,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,2020-01-16
14,15,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,2020-01-16
15,16,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-01-16
16,17,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-16
17,18,Bütün Istanbul Biliyo,İkiye On Kala,https://open.spotify.com/track/0V0bWil6rS8w4Xbn6eGwCQ,2020-01-16
18,19,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,2020-01-16
19,20,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-16
20,21,Make It With You,Ben&Ben,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-01-16
21,22,German,No Money Enterprise,https://open.spotify.com/track/4pMEp90aY5XZcQQGaH7ahu,2020-01-16
22,23,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,2020-01-16
23,24,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,2020-01-16
24,25,Liberdade Provisória,Henrique & Juliano,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,2020-01-16
25,26,Vibe With Me,Matthaios,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui,2020-01-16
26,27,Vem Me Satisfazer,MC Ingryd,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020-01-16
27,28,BOYFREN,LoveLeo,https://open.spotify.com/track/3WmgMoWZ1E5yNyn2aUzWAr,2020-01-16
28,29,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-01-16
29,30,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI,2020-01-16
30,31,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2020-01-16
31,32,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-16
32,33,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,2020-01-16
33,34,Per due che come noi,Brunori Sas,https://open.spotify.com/track/6JXlccLNpK7F2XFwHuMy23,2020-01-16
34,35,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,2020-01-16
35,36,Rehat,Kunto Aji,https://open.spotify.com/track/1BzMyhmPzYnGWK6RBF5TTj,2020-01-16
36,37,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-01-16
37,38,I Want You Back,Matthaios,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI,2020-01-16
38,39,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-16
39,40,Lebih Dari Egoku,Mawar de Jongh,https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh,2020-01-16
40,41,FML,Arizona Zervas,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,2020-01-16
41,42,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,2020-01-16
42,43,Imahe,Magnus Haven,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-01-16
43,44,Tala,Sarah Geronimo,https://open.spotify.com/track/4T7CM071eEoHudiDShZlCJ,2020-01-16
44,45,Girassol,Priscilla Alcantara,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,2020-01-16
45,46,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-01-16
46,47,Futsal Shuffle 2020,Lil Uzi Vert,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,2020-01-16
47,48,Sinning With You,Sam Hunt,https://open.spotify.com/track/7aP3ZnCrfQLFBFK4RiXpG2,2020-01-16
48,49,Solteroski,Los Solteroski,https://open.spotify.com/track/6JqfAWXo2rPNSWy9SDm9i3,2020-01-16
49,50,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-16
0,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-23
1,2,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-23
2,3,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5,2020-01-23
3,4,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,2020-01-23
4,5,Tudo Ok,Thiaguinho MT,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,2020-01-23
5,6,Psycho,Red Velvet,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,2020-01-23
6,7,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,2020-01-23
7,8,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,2020-01-23
8,9,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,https://open.spotify.com/track/6EviFqpmuvHfQaExMKmt0A,2020-01-23
9,10,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-23
10,11,Break My Stride,Matthew Wilder,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT,2020-01-23
11,12,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-01-23
12,13,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,2020-01-23
13,14,Opaul,Freddie Dredd,https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0,2020-01-23
14,15,Vem Me Satisfazer,MC Ingryd,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020-01-23
15,16,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-23
16,17,Catriona,Matthaios,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2,2020-01-23
17,18,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,2020-01-23
18,19,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-23
19,20,Dolunay,Enes Batur,https://open.spotify.com/track/0Ca4p7aZRXKdGvLuqezTwC,2020-01-23
20,21,Make It With You,Ben&Ben,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-01-23
21,22,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,2020-01-23
22,23,German,No Money Enterprise,https://open.spotify.com/track/4pMEp90aY5XZcQQGaH7ahu,2020-01-23
23,24,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,2020-01-23
24,25,Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,2020-01-23
25,26,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,2020-01-23
26,27,Just the Way,Parmalee,https://open.spotify.com/track/5PAvFGse5jjDH9ke8Mae7D,2020-01-23
27,28,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,2020-01-23
28,29,Bütün Istanbul Biliyo,İkiye On Kala,https://open.spotify.com/track/0V0bWil6rS8w4Xbn6eGwCQ,2020-01-23
29,30,Rumah Ke Rumah,Hindia,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF,2020-01-23
30,31,Rehat,Kunto Aji,https://open.spotify.com/track/1BzMyhmPzYnGWK6RBF5TTj,2020-01-23
31,32,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-01-23
32,33,OUT WEST (feat. Young Thug),JACKBOYS,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,2020-01-23
33,34,Vibe With Me,Matthaios,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui,2020-01-23
34,35,Liberdade Provisória,Henrique & Juliano,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,2020-01-23
35,36,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-01-23
36,37,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,2020-01-23
37,38,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-23
38,39,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-23
39,40,FML,Arizona Zervas,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,2020-01-23
40,41,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2020-01-23
41,42,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI,2020-01-23
42,43,Imahe,Magnus Haven,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-01-23
43,44,I Want You Back,Matthaios,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI,2020-01-23
44,45,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,2020-01-23
45,46,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,2020-01-23
46,47,I Love You but I'm Letting Go,Pamungkas,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq,2020-01-23
47,48,Per due che come noi,Brunori Sas,https://open.spotify.com/track/6JXlccLNpK7F2XFwHuMy23,2020-01-23
48,49,Patointeligencja,Mata,https://open.spotify.com/track/3ZjytV5BojgvkPnXdY5zV2,2020-01-23
49,50,Lebih Dari Egoku,Mawar de Jongh,https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh,2020-01-23
0,1,Toss a Coin to Your Witcher,Samuel Kim,https://open.spotify.com/track/0NMzV2etWr2eBIbUDuKA5I,2020-01-30
1,2,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-30
2,3,My Truck,BRELAND,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9,2020-01-30
3,4,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-30
4,5,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5,2020-01-30
5,6,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,2020-01-30
6,7,Tudo Ok,Thiaguinho MT,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,2020-01-30
7,8,Ivana,Soulstice,https://open.spotify.com/track/5bSvsXRBUjGe8pGScU0hPz,2020-01-30
8,9,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,2020-01-30
9,10,Yummy,Justin Bieber,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-30
10,11,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,2020-01-30
11,12,WINTER FLOWER(Feat.RM),Younha,https://open.spotify.com/track/4Eefey3uN90Abhbr47zKmC,2020-01-30
12,13,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-01-30
13,14,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-30
14,15,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,https://open.spotify.com/track/6EviFqpmuvHfQaExMKmt0A,2020-01-30
15,16,Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,2020-01-30
16,17,Vem Me Satisfazer,MC Ingryd,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020-01-30
17,18,Opaul,Freddie Dredd,https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0,2020-01-30
18,19,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,2020-01-30
19,20,Break My Stride,Matthew Wilder,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT,2020-01-30
20,21,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,2020-01-30
