Position,"Track Name",Artist,URL
1,Vibe,"Cookiee Kawaii",https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
2,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
3,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
4,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
5,"My Truck",BRELAND,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
6,Bando,ANNA,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
7,"WHATS POPPIN","Jack Harlow",https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
8,Flower,"Yoon Mirae",https://open.spotify.com/track/0GVKkD74xcixRYYG3zv1NL
9,"My Heart Went Oops",Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO
10,Apollo,Smoove'L,https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv
11,"Pura Pura Lupa",Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
12,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
13,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
14,Trust,"Brent Faiyaz",https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
15,"S'en aller",Swing,https://open.spotify.com/track/3ATo60fpicfxwZ0daRatlU
16,"Carnaval Chegando - Ao Vivo","Rennan da Penha",https://open.spotify.com/track/4A8LKlysJXq8swPVDPd0xH
17,"CITY OF ANGELS",24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
18,"Here I Am Again","Yerin Baek",https://open.spotify.com/track/5CDq3Ekm0E0c23S0mbEELV
19,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
20,"Uslanmıyor Bu","Zeynep Bastık",https://open.spotify.com/track/24BvlSG2Y36Heg1dwLwHtu
21,"Bi Sonraki Hayatımda Gel",Murda,https://open.spotify.com/track/7BjmOMyfT4PBKbZuSCwWPc
22,"Diva (feat. Lil Tecca)","The Kid LAROI",https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
23,"Any song",ZICO,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
24,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
25,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
26,BLACKOUT,"Lil Kapow",https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
27,"De Toreador",Opgeblazen,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
28,"Quédate conmigo",Pole.,https://open.spotify.com/track/3T1egHTtRtYoal4SPUJAAe
29,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
30,Drugs,UPSAHL,https://open.spotify.com/track/06ioYJ99HHjzRk8HrGfkKS
31,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
32,"Rindu Dalam Hati","Arsy Widianto",https://open.spotify.com/track/1DhJgI2oAsDeDVSD5TNPCF
33,"DUN DUN",EVERGLOW,https://open.spotify.com/track/3CyCjgTHFzqucmECajq8QA
34,"Boys Ain't Shit",SAYGRACE,https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE
35,Ivana,Soulstice,https://open.spotify.com/track/54b8IPvheXDpro2VR2rWAS
36,Dior,"Pop Smoke",https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
37,"Black Swan",BTS,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
38,"Tudo Ok","Thiaguinho MT",https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
39,"What If I Told You That I Love You","Ali Gatie",https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
40,Leila,Reynmen,https://open.spotify.com/track/1RqNAiL2toZ59HTjQbFLfM
41,"I LOVE...","Official HIGE DANdism",https://open.spotify.com/track/6Yrkz3dWqy933CQWQc4Yah
42,Diosa,"Myke Towers",https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
43,Svag,"Victor Leksell",https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
44,"Per sentirmi vivo",Fasma,https://open.spotify.com/track/5U3ln41nbhztweY70Mv5b3
45,"Kazılı Kuyum","Yüzyüzeyken Konuşuruz",https://open.spotify.com/track/5DJEXxOutnFD5GEUVk88yE
46,Physical,"Dua Lipa",https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
47,"Yetinmeyi Bilir Misin?","Sezen Aksu",https://open.spotify.com/track/3mRVgn5Q4AbECPzPRlCEk3
48,Alge,Knossi,https://open.spotify.com/track/69nrq6NeLYbKJIv21ORgQ4
49,"You Broke My Heart Again",Teqkoi,https://open.spotify.com/track/3jZDWsoxRHzzp3DYV8qeXE
50,Bussin,"Tay Money",https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW
