Position,Track Name,Artist,URL,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cases
11,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,2020-12-03,5vGLcdRuSbUhD8ScwsGSdA,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4,65368134.0
12,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,2020-12-10,5vGLcdRuSbUhD8ScwsGSdA,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4,70564179.0
16,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,2020-12-17,5vGLcdRuSbUhD8ScwsGSdA,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4,75069012.0
21,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,2020-12-24,5vGLcdRuSbUhD8ScwsGSdA,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4,79495656.0
30,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,2020-12-31,5vGLcdRuSbUhD8ScwsGSdA,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4,83558756.0
14,Sudah - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue,2020-11-12,5QGdWvXwXMK2Zx6eKagyue,0.617,0.172,2,-11.526,1,0.0316,0.907,2.8699999999999996e-05,0.16,0.19899999999999998,114.92399999999999,206098,3,52914392.0
16,Sudah - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue,2020-11-19,5QGdWvXwXMK2Zx6eKagyue,0.617,0.172,2,-11.526,1,0.0316,0.907,2.8699999999999996e-05,0.16,0.19899999999999998,114.92399999999999,206098,3,57061735.0
28,Sudah - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue,2020-11-26,5QGdWvXwXMK2Zx6eKagyue,0.617,0.172,2,-11.526,1,0.0316,0.907,2.8699999999999996e-05,0.16,0.19899999999999998,114.92399999999999,206098,3,61139959.0
18,Gucci Bucket Hat,Pap Chanel,https://open.spotify.com/track/0DaMA9Qeod1l8d6kmEq4Ay,2020-11-12,0DaMA9Qeod1l8d6kmEq4Ay,0.929,0.679,11,-5.877000000000001,0,0.318,0.0256,0.0,0.0965,0.598,94.501,198905,4,52914392.0
20,Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-12,4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,11,-7.071000000000001,0,0.0398,0.8640000000000001,0.0,0.11599999999999999,0.0927,79.859,149297,4,52914392.0
