Position,Track Name,Artist,URL,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cases
50,Die Very Rough,Mario Judah,https://open.spotify.com/track/3brXaWuPsVScvYQKUh3Ijc,2020-12-17,3brXaWuPsVScvYQKUh3Ijc,0.72,0.74,1,-3.815,1,0.0646,0.00255,2.55e-06,0.303,0.172,157.953,91171,4,75069012.0
14,Line Without a Hook,Ricky Montgomery,https://open.spotify.com/track/5jvgec3P4jyoZUPTy2pWDR,2020-11-19,5jvgec3P4jyoZUPTy2pWDR,0.43200000000000005,0.652,8,-4.968999999999999,1,0.0285,0.262,0.0,0.258,0.507,190.028,249587,3,57061735.0
13,Line Without a Hook,Ricky Montgomery,https://open.spotify.com/track/5jvgec3P4jyoZUPTy2pWDR,2020-11-26,5jvgec3P4jyoZUPTy2pWDR,0.43200000000000005,0.652,8,-4.968999999999999,1,0.0285,0.262,0.0,0.258,0.507,190.028,249587,3,61139959.0
18,Line Without a Hook,Ricky Montgomery,https://open.spotify.com/track/5jvgec3P4jyoZUPTy2pWDR,2020-12-03,5jvgec3P4jyoZUPTy2pWDR,0.43200000000000005,0.652,8,-4.968999999999999,1,0.0285,0.262,0.0,0.258,0.507,190.028,249587,3,65368134.0
24,Line Without a Hook,Ricky Montgomery,https://open.spotify.com/track/5jvgec3P4jyoZUPTy2pWDR,2020-12-10,5jvgec3P4jyoZUPTy2pWDR,0.43200000000000005,0.652,8,-4.968999999999999,1,0.0285,0.262,0.0,0.258,0.507,190.028,249587,3,70564179.0
15,กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ,Billkin,https://open.spotify.com/track/4D6f8Y7qiOvmFbm3TIab22,2020-11-19,4D6f8Y7qiOvmFbm3TIab22,0.675,0.7,8,-3.944,1,0.0273,0.47700000000000004,0.0,0.11,0.46299999999999997,107.994,217778,4,57061735.0
20,กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ,Billkin,https://open.spotify.com/track/4D6f8Y7qiOvmFbm3TIab22,2020-11-26,4D6f8Y7qiOvmFbm3TIab22,0.675,0.7,8,-3.944,1,0.0273,0.47700000000000004,0.0,0.11,0.46299999999999997,107.994,217778,4,61139959.0
38,กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ,Billkin,https://open.spotify.com/track/4D6f8Y7qiOvmFbm3TIab22,2020-12-03,4D6f8Y7qiOvmFbm3TIab22,0.675,0.7,8,-3.944,1,0.0273,0.47700000000000004,0.0,0.11,0.46299999999999997,107.994,217778,4,65368134.0
19,positions,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-19,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.46799999999999997,0.0,0.0931,0.682,144.015,172325,4,57061735.0
42,positions,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-11-26,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.46799999999999997,0.0,0.0931,0.682,144.015,172325,4,61139959.0
22,LOST IN PARADISE,ALI,https://open.spotify.com/track/7kRKlFCFLAUwt43HWtauhX,2020-11-19,7kRKlFCFLAUwt43HWtauhX,0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,327967,4,57061735.0
23,LOST IN PARADISE,ALI,https://open.spotify.com/track/7kRKlFCFLAUwt43HWtauhX,2020-11-26,7kRKlFCFLAUwt43HWtauhX,0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,327967,4,61139959.0
26,LOST IN PARADISE,ALI,https://open.spotify.com/track/7kRKlFCFLAUwt43HWtauhX,2020-12-03,7kRKlFCFLAUwt43HWtauhX,0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,327967,4,65368134.0
