Position,"Track Name",Artist,URL
1,"Aku Yang Salah",Elmatu,https://open.spotify.com/track/07kS6GzBPkGUMmfgQUfMbE
2,"3 Musketeers",NextYoungin,https://open.spotify.com/track/2gSbNY2qXZ5mPVixrMaFrY
3,"Backyard Boy","Claire Rosinkranz",https://open.spotify.com/track/0y9fkzOaaQy4Up22BGUbIp
4,"NEVER MET!",CMTEN,https://open.spotify.com/track/7nJWotqUUPhVaCAOov6qGp
5,"Such a Whore (Stellular Remix)",JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
6,F2020,"Avenue Beat",https://open.spotify.com/track/3HZuxQ80VWOsBWws8XQdFB
7,Myra,"Tani Yuuki",https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh
8,"Maafkan Aku #terlanjurmencinta","Tiara Andini",https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
9,Maria,"Hwa Sa",https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
10,"Tak Sanggup Melupa #terlanjurmencinta","Ziva Magnolya",https://open.spotify.com/track/5c41XA3sxiOD3cWkf1Gzki
11,Overwhelmed,"Royal & the Serpent",https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y
12,"Jerusalema (feat. Nomcebo Zikode)","Master KG",https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
13,"Mengapa Kita #terlanjurmencinta",Lyodra,https://open.spotify.com/track/5UYhXDSM6yq9i6vi715wPe
14,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
15,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ
16,WATER,Salatiel,https://open.spotify.com/track/5vIiGOCqhPwnQDZhWhewGU
17,"I Will Be Here (Original Soundtrack from the movie ""Through Night And Day"")","Alessandra De Rossi",https://open.spotify.com/track/6qCDsNEOnQ6uPG7m8gWUkW
18,"Oh Juliana",Niack,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
19,"Make you happy",NiziU,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf
20,"Kafamda kentsel dönüşümler","İkiye On Kala",https://open.spotify.com/track/7iEfRnNqAcTse7APwo64D5
21,"Savage Love (Laxed - Siren Beat)","Jawsh 685",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
22,"In This Shirt","The Irrepressibles",https://open.spotify.com/track/60mItLdFl6xkYc1sAjlZlf
23,Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
24,"La Curiosidad","Jay Wheeler",https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
25,"Mood Swings (feat. Lil Tjay)","Pop Smoke",https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
26,"1 Billion Views",EXO-SC,https://open.spotify.com/track/4gGZc6MMYavM5KFS2zwOVL
27,"Come & Go (with Marshmello)","Juice WRLD",https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
28,"Head & Heart (feat. MNEK)","Joel Corry",https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
29,"Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix","Master KG",https://open.spotify.com/track/6Qa0wHpaiaIzXgMptP3rxV
30,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
31,"Comprei um Lança","Mc Jacaré",https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
32,"Be Happy","Dixie D’Amelio",https://open.spotify.com/track/1KVQBPyORdhfITlixROtvC
33,"Then Leave (feat. Queendom Come)",BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8
34,"Jerusalema (feat. Nomcebo Zikode) - Edit","Master KG",https://open.spotify.com/track/2R7gA9dAHTjASKU0wiTJok
35,Monster,"Red Velvet - IRENE & SEULGI",https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
36,"Wishing Well","Juice WRLD",https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
37,Heather,"Conan Gray",https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
38,"Lost In The Wild","WALK THE MOON",https://open.spotify.com/track/0M1A9wInEHilyWkh4I8tWo
39,24,"Money Man",https://open.spotify.com/track/2FVMbLuIxo0dz3KLXgN6Jh
40,"MY POWER",Nija,https://open.spotify.com/track/7ia5l12mCvbQTeAnG1oYpg
41,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
