Position,"Track Name",Artist,URL
1,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
2,LMK,"Lil Xxel",https://open.spotify.com/track/0efL46uAuNEfukXQYsbPlX
3,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
4,"Teka Lang",Emman,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht
5,"Rockstar Shit",BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII
6,"Malayo Ka Man","Jr Crown",https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo
7,"Astronomia 2K19 - Radio Edit","Stephan F",https://open.spotify.com/track/56Z3lLPTcozYkoAl9HsQLI
8,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
9,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
10,"Still Softish","Josh Richards",https://open.spotify.com/track/2twKCCzVkqTr7MKEbv3tcj
11,"Con Tus Besos","Eslabon Armado",https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
12,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
13,Surrender,"Natalie Taylor",https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
14,XS,"Rina Sawayama",https://open.spotify.com/track/3OK3uq0udXEDfEo7bvpNHW
15,"Bentuk Cinta","Eclat Story",https://open.spotify.com/track/4J12uL4aNKzRco173fPyYQ
16,"(i hope you) miss me","Joseph Black",https://open.spotify.com/track/1Zv2jT7iZu98Feqpzhn0nd
17,Savage,"Megan Thee Stallion",https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
18,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
19,시작,Gaho,https://open.spotify.com/track/4kIpBfvK44bxqX7zo8K1oP
20,Favorito,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
21,"Why Is Everything Chrome (Lean Swag Rock Wit It)","King Critical",https://open.spotify.com/track/25rk4fQl2sTESHcQaChLMr
22,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
23,"Mil Tequilas","Chema Rivas",https://open.spotify.com/track/4QPLtCSQh10inI5iwUoG2p
24,"Pew Pew Pew","Auntie Hammy",https://open.spotify.com/track/4YpB6dVeCG1UTsk3MWbwKn
25,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
26,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
27,"Bad Liar","Anna Hamilton",https://open.spotify.com/track/0X9MxHR1rTkEHDjp95F2OO
28,"The Blessing - Live","Kari Jobe",https://open.spotify.com/track/2elEVvWjPZltkotzcCwKvM
29,"They Call Me Tiago (Her Name Is Margo)",Tiagz,https://open.spotify.com/track/1UxYmRBBJMMuzYcK9miSYs
30,"Serenata Jiwa Lara",Diskoria,https://open.spotify.com/track/7ivFVBVYH5akFOtOAyeJ4j
31,"I'm Yer Dad",GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU
32,"Boss Bitch","Doja Cat",https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
33,Chega,Gaia,https://open.spotify.com/track/0XdjGLxXQhiPkOqXtAyEZ9
34,"Beautiful Scars",Maximillian,https://open.spotify.com/track/0iw0EuzmMKMYvZuQYW8DBA
35,"Bored In The House",Tyga,https://open.spotify.com/track/5OxveXfvga2t0se21d96Ow
36,Comatose,jxdn,https://open.spotify.com/track/1FIv5SzIBWmCF5Xmt8N6BD
37,"Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist","Manu Pilas",https://open.spotify.com/track/3lWzVNe1yFZlkeBBzUuZYu
38,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
39,"Sweet Night",V,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp
40,"Addison Rae","The Kid LAROI",https://open.spotify.com/track/2ImaJZH7XqxrzbQZpYDmol
41,"Break My Heart","Dua Lipa",https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
42,"Comme des Garçons (Like the Boys)","Rina Sawayama",https://open.spotify.com/track/1jddO0wta9jad0QD5yriy0
43,"Fiori di Chernobyl",Mr.Rain,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
44,PORFA,Feid,https://open.spotify.com/track/3iQOfefMGDVDwo8dZoco8T
45,"Don't Rush (feat. Headie One)","Young T & Bugsey",https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
46,"Blueberry Faygo","Lil Mosey",https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
47,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
48,Selfish,"Madison Beer",https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
49,"After Party","Don Toliver",https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
50,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
