,Position,Track Name,Artist,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
208,6,Tudo Ok,Thiaguinho MT,2020-02-06,4HUZBG98TYbxSR9V1V2DWS,0.814,0.755,11,-6.164,0,0.0942,0.239,0.0,0.306,0.963,79.976,178500,4
209,24,Tudo Ok,Thiaguinho MT,2020-02-13,4HUZBG98TYbxSR9V1V2DWS,0.814,0.755,11,-6.164,0,0.0942,0.239,0.0,0.306,0.963,79.976,178500,4
210,35,Tudo Ok,Thiaguinho MT,2020-02-20,4HUZBG98TYbxSR9V1V2DWS,0.814,0.755,11,-6.164,0,0.0942,0.239,0.0,0.306,0.963,79.976,178500,4
211,38,Tudo Ok,Thiaguinho MT,2020-02-27,4HUZBG98TYbxSR9V1V2DWS,0.814,0.755,11,-6.164,0,0.0942,0.239,0.0,0.306,0.963,79.976,178500,4
212,35,Imahe,Magnus Haven,2020-01-02,65sEZZaxTjLMD8vNgPoMz5,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817,4
213,40,Imahe,Magnus Haven,2020-01-09,65sEZZaxTjLMD8vNgPoMz5,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817,4
214,43,Imahe,Magnus Haven,2020-01-16,65sEZZaxTjLMD8vNgPoMz5,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817,4
215,43,Imahe,Magnus Haven,2020-01-23,65sEZZaxTjLMD8vNgPoMz5,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817,4
216,50,Imahe,Magnus Haven,2020-01-30,65sEZZaxTjLMD8vNgPoMz5,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817,4
217,36,Don't Start Now,Dua Lipa,2020-01-02,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
218,50,Don't Start Now,Dua Lipa,2020-01-09,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
219,50,Don't Start Now,Dua Lipa,2020-01-16,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
220,37,I Want You Back,Matthaios,2020-01-02,5jLUKFlEJzOf6b6PCaohFI,0.843,0.411,1,-11.46,0,0.42,0.675,0.0,0.179,0.515,94.999,265247,4
221,43,I Want You Back,Matthaios,2020-01-09,5jLUKFlEJzOf6b6PCaohFI,0.843,0.411,1,-11.46,0,0.42,0.675,0.0,0.179,0.515,94.999,265247,4
222,38,I Want You Back,Matthaios,2020-01-16,5jLUKFlEJzOf6b6PCaohFI,0.843,0.411,1,-11.46,0,0.42,0.675,0.0,0.179,0.515,94.999,265247,4
223,44,I Want You Back,Matthaios,2020-01-23,5jLUKFlEJzOf6b6PCaohFI,0.843,0.411,1,-11.46,0,0.42,0.675,0.0,0.179,0.515,94.999,265247,4
224,38,RITMO (Bad Boys For Life),Black Eyed Peas,2020-01-02,6cy3ki60hLwimwIje7tALf,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
225,39,Hola - Remix,Dalex,2020-01-02,5stPVcRqb4qixbafP9e8lt,0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,249520,4
226,40,Kenangan Manis,Pamungkas,2020-01-02,1tS1dRfxIV9FzqdYTbJgMn,0.604,0.678,4,-7.331,1,0.0304,0.0511,0.00169,0.0945,0.721,139.974,207938,4
227,41,Vete,Bad Bunny,2020-01-02,5DxXgozhkPLgrbKFY91w0c,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024,4
228,42,Sou Vitorioso,Mc Lele JP,2020-01-02,37hCsK2djczyRGWMjqzbxD,0.869,0.553,5,-3.5,1,0.212,0.685,0.0,0.115,0.457,119.897,236000,4
229,43,Watermelon Sugar,Harry Styles,2020-01-02,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
230,44,Pilu Membiru,Kunto Aji,2020-01-02,48FTlRoE6Dft6EXIpQgPZb,0.355,0.27,7,-10.989,1,0.0291,0.894,0.00029,0.12,0.0542,82.373,251813,4
231,45,In The Party,Flo Milli,2020-01-02,2JF8KwK1hH7MWxKcFdTlcg,0.88,0.556,9,-6.544,1,0.333,0.00874,0.0,0.217,0.422,135.012,141088,4
232,46,Memories,Maroon 5,2020-01-02,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
