Position,"Track Name",Artist,URL
1,"Times We Had",Barlito,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz
2,"Na Raba Toma Tapão",Niack,https://open.spotify.com/track/57zQSScHq19ztrMnjWCPBI
3,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
4,香水,Eito,https://open.spotify.com/track/6y7FocfzyzkGLSHQdJVHhq
5,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
6,"LATHI (ꦭꦛꦶ)","Weird Genius",https://open.spotify.com/track/7ksK7gpPDFdY4JLHr1hKfY
7,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
8,"I Like You So Much, You'll Know It","Honey Jemlan",https://open.spotify.com/track/4zATlrA9Lf9zHGLvEP47Ei
9,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
10,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
11,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
12,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
13,"Address It","LPB Poody",https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
14,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
15,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Niña Bonita - Acústico",Dstance,https://open.spotify.com/track/6yb8ktQyg2mH4fOUeIYkd5
18,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
19,"Teka Lang",Emman,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht
20,"IDK You Yet","Alexander 23",https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
21,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
22,"Banana (feat. Shaggy)",Conkarah,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
23,"LEMONS - Demo",Brye,https://open.spotify.com/track/5ukAQcKEIJuzIbP55xp07x
24,"It's You (I've Been Looking for)","Lewis Brice",https://open.spotify.com/track/3CetlHFPPW1SF9mQB7fKti
25,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
26,"Times Like These - BBC Radio 1 Stay Home Live Lounge","Live Lounge Allstars",https://open.spotify.com/track/4mOhgByssJQ5AdFaliWyEc
27,"คั่นกู - เพลงประกอบซีรีส์ เพราะเราคู่กัน","Bright Vachirawit",https://open.spotify.com/track/2ZGgIXaoierTsnkrDzuBzY
28,"Ruthless (Nice Guys Always Finish Last)","MarMar Oso",https://open.spotify.com/track/6HeCk6yewXH7WO4D93eub9
29,Surrender,"Natalie Taylor",https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
30,"Con Tus Besos","Eslabon Armado",https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
31,Mariposa,"Peach Tree Rascals",https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
32,"Rockstar Shit",BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII
33,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
34,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
35,"Il bacio di Klimt","Emanuele Aloia",https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
36,"After Party","Don Toliver",https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
37,Nonstop,"OH MY GIRL",https://open.spotify.com/track/5joNJn9LUvYcamWwa2iYCL
38,"Spit it out",Solar,https://open.spotify.com/track/5F6RrFgt1yvRhNCdAEumM6
39,"Cuando Amanezca (feat. Danny Ocean, Justin Quiles, Feid)",Nibal,https://open.spotify.com/track/0yx82WHSiVRekLwqfxQkvJ
40,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
41,"snow jam",Rin音,https://open.spotify.com/track/1SbEt51pN80q1cphFOqIPL
42,"Tak Tiki Tak","Harry Nach",https://open.spotify.com/track/0aCTSZQTlmnjQucALTF00s
43,"Si Lemah",RAN,https://open.spotify.com/track/4TPIAnmVnouoZuwB6blHWl
44,LMK,"Lil Xxel",https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB
45,"Daha Mutlu Olamam","mor ve ötesi",https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
46,"Beautiful Scars",Maximillian,https://open.spotify.com/track/4kS01K2URu522IomkGOFHl
47,"Sykepleierinnen (Sykehuset 2020)","El Papi",https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
48,"Como Llora",Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
49,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
50,,,https://open.spotify.com/track/60pysSgEslc7i5blU5zZbS
